iterations, ghc-7.6.1 Record compile, ghc-7.6.1 Record run, ghc-7.6.1 ArrayRecord compile, ghc-7.6.1 ArrayRecord run, ghc-7.6.1 SkewRecord compile, ghc-7.6.1 SkewRecord run
0, 0.360322s, 0.042808s, 0.376842s, 0.748782s, 0.379959s, 0.049124s, 
25, 2.208316s, 0.59939s, 2.425403s, 7.44697s, 1.341814s, 0.096824s, 
50, 17.547748s, 2.895135s, 18.516149s, 15.325656s, 4.209474s, 0.108494s, 
75, 83.773422s, 4.313374s, 86.913281s, 30.526902s, 7.915856s, 0.108401s, 
100, 260.716125s, 7.461185s, 269.446834s, 49.553771s, 9.427009s, 0.102618s, 
125, 638.663681s, 10.536036s, 656.934461s, 67.746931s, 9.986022s, 0.097177s, 
150, 1300.261439s, 18.597959s, 1329.398182s, 86.740034s, 41.668455s, 0.12336s, 
175, 189.936611s, ghc: signal: 1
